"File","Hardcoded","AppTheme","ThemeRefs","Total"
"lib\app.dart","1","1","0","2"
"lib\core\api\dio_client.dart","0","0","0","0"
"lib\core\constants\api_endpoints.dart","0","0","0","0"
"lib\core\constants\app_colors.dart","2","2","0","4"
"lib\core\constants\app_strings.dart","0","0","0","0"
"lib\core\constants\phone_prefixes.dart","0","0","0","0"
"lib\core\constants\sizes.dart","0","0","0","0"
"lib\core\errors\app_exception.dart","0","0","0","0"
"lib\core\errors\app_exceptions.dart","0","0","0","0"
"lib\core\errors\error_logger.dart","0","0","0","0"
"lib\core\layout\zerpai_navbar.dart","28","31","0","59"
"lib\core\layout\zerpai_shell_metrics.dart","0","0","0","0"
"lib\core\layout\zerpai_shell.dart","5","0","0","5"
"lib\core\layout\zerpai_sidebar_item.dart","14","0","0","14"
"lib\core\layout\zerpai_sidebar.dart","10","1","0","11"
"lib\core\logging\app_logger.dart","0","0","0","0"
"lib\core\models\org_settings_model.dart","0","0","0","0"
"lib\core\pages\error_page.dart","2","6","13","21"
"lib\core\pages\maintenance_page.dart","4","2","11","17"
"lib\core\pages\not_found_page.dart","0","3","10","13"
"lib\core\pages\settings_branch_profile_page.dart","7","43","0","50"
"lib\core\pages\settings_branches_create_page.dart","44","252","0","296"
"lib\core\pages\settings_branches_list_page.dart","33","121","0","154"
"lib\core\pages\settings_branding_page.dart","64","111","0","175"
"lib\core\pages\settings_locations_create_page.dart","20","215","0","235"
"lib\core\pages\settings_locations_page.dart","19","129","0","148"
"lib\core\pages\settings_organization_branding_page.dart","55","117","0","172"
"lib\core\pages\settings_organization_profile_page.dart","21","212","0","233"
"lib\core\pages\settings_page.dart","21","49","0","70"
"lib\core\pages\settings_roles_page.dart","6","27","0","33"
"lib\core\pages\settings_user_location_access_editor.dart","5","48","0","53"
"lib\core\pages\settings_users_roles_support.dart","8","30","0","38"
"lib\core\pages\settings_warehouses_create_page.dart","22","84","0","106"
"lib\core\pages\settings_warehouses_list_page.dart","28","96","0","124"
"lib\core\pages\settings_zone_bins_page.dart","27","82","0","109"
"lib\core\pages\settings_zones_create_page.dart","15","66","0","81"
"lib\core\pages\settings_zones_page.dart","23","71","0","94"
"lib\core\pages\unauthorized_page.dart","2","4","10","16"
"lib\core\providers\app_branding_provider.dart","16","0","0","16"
"lib\core\providers\entity_provider.dart","0","0","0","0"
"lib\core\providers\org_settings_provider.dart","0","0","0","0"
"lib\core\routing\app_router.dart","0","0","0","0"
"lib\core\routing\app_routes.dart","0","0","0","0"
"lib\core\services\api_client.dart","0","0","0","0"
"lib\core\services\dialog_service.dart","0","0","0","0"
"lib\core\services\env_service.dart","0","0","0","0"
"lib\core\services\hive_adapters.dart","0","0","0","0"
"lib\core\services\hive_service.dart","0","0","0","0"
"lib\core\services\image_picker_service.dart","0","0","0","0"
"lib\core\theme\app_text_styles.dart","0","10","0","10"
"lib\core\theme\app_theme.dart","49","0","1","50"
"lib\core\utils\console_error_reporter.dart","0","0","0","0"
"lib\core\utils\error_handler.dart","0","0","0","0"
"lib\data\models\branch_model.dart","0","0","0","0"
"lib\data\models\customer_model.dart","0","0","0","0"
"lib\data\models\user_model.dart","0","0","0","0"
"lib\data\models\vendor_model.dart","0","0","0","0"
"lib\data\providers\auth_provider.dart","0","0","0","0"
"lib\data\providers\branch_provider.dart","0","0","0","0"
"lib\main.dart","1","0","0","1"
"lib\modules\accountant\manual_journals\models\manual_journal_model.dart","0","0","0","0"
"lib\modules\accountant\manual_journals\presentation\manual_journal_create_screen.dart","39","82","0","121"
"lib\modules\accountant\manual_journals\presentation\manual_journal_template_create_screen.dart","14","35","0","49"
"lib\modules\accountant\manual_journals\presentation\manual_journal_templates_list_screen.dart","2","7","0","9"
"lib\modules\accountant\manual_journals\presentation\manual_journals_overview_screen.dart","0","4","0","4"
"lib\modules\accountant\manual_journals\presentation\widgets\manual_journal_template_card.dart","1","12","0","13"
"lib\modules\accountant\manual_journals\presentation\widgets\manual_journals_detail_panel.dart","19","33","0","52"
"lib\modules\accountant\manual_journals\presentation\widgets\manual_journals_list_panel.dart","37","78","1","116"
"lib\modules\accountant\manual_journals\providers\manual_journal_provider.dart","0","0","0","0"
"lib\modules\accountant\manual_journals\providers\manual_journal_template_provider.dart","0","0","0","0"
"lib\modules\accountant\manual_journals\repositories\manual_journal_repository.dart","0","0","0","0"
"lib\modules\accountant\models\account_transaction_model.dart","0","0","0","0"
"lib\modules\accountant\models\accountant_chart_of_accounts_account_model.dart","0","0","0","0"
"lib\modules\accountant\models\accountant_lookup_models.dart","0","0","0","0"
"lib\modules\accountant\models\accountant_metadata_model.dart","0","0","0","0"
"lib\modules\accountant\models\transaction_lock_model.dart","0","0","0","0"
"lib\modules\accountant\presentation\accountant_bulk_update_screen.dart","12","12","0","24"
"lib\modules\accountant\presentation\accountant_chart_of_accounts_creation.dart","13","62","0","75"
"lib\modules\accountant\presentation\accountant_chart_of_accounts_overview.dart","28","146","0","174"
"lib\modules\accountant\presentation\accountant_opening_balances_screen.dart","3","18","0","21"
"lib\modules\accountant\presentation\accountant_opening_balances_update_screen.dart","3","16","0","19"
"lib\modules\accountant\presentation\accountant_settings_screen.dart","1","10","0","11"
"lib\modules\accountant\presentation\accountant_transaction_locking_screen.dart","7","66","0","73"
"lib\modules\accountant\presentation\widgets\accountant_chart_of_accounts_detail_panel.dart","12","59","0","71"
"lib\modules\accountant\presentation\widgets\accountant_chart_of_accounts_row.dart","15","21","0","36"
"lib\modules\accountant\providers\accountant_chart_of_accounts_provider.dart","0","0","0","0"
"lib\modules\accountant\providers\currency_provider.dart","0","0","0","0"
"lib\modules\accountant\providers\opening_balance_provider.dart","0","0","0","0"
"lib\modules\accountant\providers\transaction_lock_provider.dart","0","0","0","0"
"lib\modules\accountant\recurring_journals\models\recurring_journal_model.dart","0","0","0","0"
"lib\modules\accountant\recurring_journals\presentation\recurring_journal_create_screen.dart","13","24","0","37"
"lib\modules\accountant\recurring_journals\presentation\recurring_journal_overview_screen.dart","3","12","0","15"
"lib\modules\accountant\recurring_journals\presentation\widgets\recurring_journal_import_export_dialogs.dart","6","17","0","23"
"lib\modules\accountant\recurring_journals\presentation\widgets\recurring_journals_detail_panel.dart","18","71","1","90"
"lib\modules\accountant\recurring_journals\presentation\widgets\recurring_journals_list_panel.dart","4","14","0","18"
"lib\modules\accountant\recurring_journals\providers\recurring_journal_provider.dart","0","0","0","0"
"lib\modules\accountant\recurring_journals\repositories\recurring_journal_repository.dart","0","0","0","0"
